State,Party,Status,"Committee Name","Candidate Name",City,Received,Spent,District,CMTE_ID
KS,REP,OPEN,"COBB FOR CONGESS","COBB, ALAN EARL",WICHITA,150369.61,150369.61,04,C00632497
VA,DEM,CHALLENGER,"FRIENDS OF JONATHAN PARK","PARK, JONATHAN",FAIRFAX,6142,6142,11,C00667170
CA,DEM,CHALLENGER,"BRYAN CAFORIO FOR CONGRESS","CAFORIO, BRYAN",VALENCIA,1211532.6,1193628.87,25,C00597724
CA,REP,CHALLENGER,"BAUGH FOR CONGRESS","BAUGH, SCOTT","HUNTINGTON BEACH",651648.61,1198617.71,48,C00607432
CA,NNE,CHALLENGER,"MERCADO FOR CONGRESS","MERCADO, JUAN","EL CAJON",20004.62,19760.59,51,C00615450
TX,DEM,CHALLENGER,"BIGGAN FOR TEXAS","BIGGAN, JOHN",HURST,86564.64,86564.64,24,C00656975
TX,DEM,OPEN,"VALENCIA FOR CONGRESS COMMITTEE","VALENCIA, PEDRO",HOUSTON,5598.35,5566.46,29,C00660688
OK,DEM,CHALLENGER,"KENDRA HORN FOR CONGRESS","HORN, KENDRA","OKLAHOMA CITY",515806.89,442179.82,05,C00648915
VA,REP,CHALLENGER,"FINANCE COMMITTEE FOR THOMAS OH","OH, THOMAS",ALEXANDRIA,17355,14605.07,08,C00669507
WA,DEM,CHALLENGER,"DOROTHY GASQUE FOR CONGRESS","GASQUE, DOROTHY",VANCOUVER,88996.73,45068.63,03,C00630798
CA,DEM,CHALLENGER,"LISA BATTISTA FOR CONGRESS","BATTISTA, LISA",MODESTO,7028.37,1840.64,10,C00641092
SC,DEM,OPEN,"LES MURPHY FOR CONGRESS - AB INITIO","MURPHY, LES","FORT MILL",8960,3824.17,05,C00635714
ID,REP,OPEN,"MALEK FOR CONGRESS","MALEK, LUCAS TODD","COEUR D'ALENE",299909.72,296715.14,01,C00652958
KS,DEM,CHALLENGER,"LAPOLICE FOR KANSANS","LAPOLICE, ALAN",CLYDE,113071,51950.81,01,C00552810
NM,DEM,OPEN,"PAUL MOYA FOR CONGRESS","MOYA, PAUL",ALBUQUERQUE,210622.86,195256.01,01,C00660449
WA,DEM,CHALLENGER,"COMMITTEE FOR DAVID MCDEVITT","MCDEVITT, DAVID MALCOLM MR",VANCOUVER,731074.31,56523.57,03,C00592345
MI,DEM,INCUMBENT,"FRIENDS OF DAN KILDEE","KILDEE, DANIEL T.",FLUSHING,821850.71,743238.06,05,C00499947
MT,DEM,CHALLENGER,"FRIENDS OF LYNDA MOSS","MOSS, LYNDA BOURQUE",BILLINGS,108405.85,108405.85,00,C00659292
SC,DEM,CHALLENGER,"BILL HOPKINS FOR CONGRESS","HOPKINS, WILLIAM E. JR.","PAWLEYS ISLAND",113130,111651.72,07,C00670414
PA,REP,OPEN,"JASON ORTITAY FOR CONGRESS","ORTITAY, JASON A",CANONSBURG,1545,1545,18,C00659441
SC,DEM,CHALLENGER,"STEVE LOUGH FOR CONGRESS","LOUGH, STEPHEN HARRISON",CAMDEN,15022.36,10187.33,05,C00672766
SC,DEM,CHALLENGER,"WILLIAMS FOR CONGRESS","WILLIAMS, ROBERT",DARLINGTON,12962.43,11087.27,07,C00677062
TX,REP,OPEN,"DR JON SPIERS FOR CONGRESS","SPIERS, JON P DR",HOUSTON,49637.77,46927.22,02,C00662775
TN,IND,CHALLENGER,"WRITE IN NICHOLAS MANTANONA FOR UNITED STATES REPRESENTATIVE","MANTANONA, NICHOLAS BRENT MR.",MEMPHIS,3500,3500,09,C00621508
AL,REP,CHALLENGER,"PHIL NORRIS FOR CONGRESS","NORRIS, PHILLIP",BIRMINGHAM,100,100,04,C00636241
TX,DEM,CHALLENGER,"COMMITTEE TO ELECT SCOTT STURM","STURM, SCOTT 1974","NEW BRAUNFELS",95,0,17,C00647867
MD,DEM,CHALLENGER,"THEREASA BLACK FOR CONGRESS","BLACK, THEREASA MARIE",LANDOVER,5844.02,5844.02,04,C00646802
