State,Party,Status,"Committee Name","Candidate Name",City,Received,Spent,District,CMTE_ID
PA,DEM,INCUMBENT,"BOB CASEY FOR SENATE INC","CASEY, ROBERT P JR",PHILADELPHIA,14691248,6441055,00,C00431056
NE,DEM,CHALLENGER,"RAYBOULD FOR US SENATE","RAYBOULD, JANE MICHELE",LINCOLN,1230942,750700,00,C00654822
TN,REP,OPEN,"TOYOS FOR SENATE 2018","TOYOS, ROLANDO",BRENTWOOD,47512,47512,00,C00660209
NY,REP,CHALLENGER,"PAT HAHN FOR US SENATE","HAHN, PATRICK JOHN","CENTER MORICHES",5000,4559,00,C00658872
PA,REP,CHALLENGER,PATRIOTS4SACCONE,"SACCONE, RICK",ELIZABETH,51207,73263,00,C00632273
PA,REP,CHALLENGER,"BARTOS FOR SENATE INC","BARTOS, JEFFREY A","MERION STATION",1312822,1312822,00,C00638452
VA,LIB,CHALLENGER,"MATT WATERS FOR US SENATE","WATERS, MATT",ALEXANDRIA,29356,28311,00,C00674069
MA,REP,CHALLENGER,"COMPANIONS OF HEIDI WELLMAN","WELLMAN, HEIDI M",BRAINTREE,10349.77,10349,00,C00651455
RI,REP,CHALLENGER,"BOBBY 4 SENATE","NARDOLILLO, ROBERT ANTHONY III",GREENE,129258,110039,00,C00637983
UT,DEM,OPEN,"SINGER FOR SENATE","SINGER, JAMES COURAGE","SALT LAKE CITY",8773,4507,00,C00639195
UT,DEM,OPEN,"MITCHELL VICE FOR UNITED STATES SENATE","VICE, MITCHELL KENT","SALT LAKE CITY",3278,2341,00,C00651687
WV,DEM,CHALLENGER,"PAULA SWEARENGIN 2018","SWEARENGIN, PAULA JEAN","COAL CITY",219111,173192,00,C00640219
VA,REP,CHALLENGER,"MINERVA DIAZ FOR US SENATE VIRGINIA","DIAZ, MINERVA DR",ALEXANDRIA,10746,10745,00,C00669903
MS,REP,INCUMBENT,"WICKER FOR SENATE","WICKER, ROGER F",JACKSON,5349028,3831418,00,C00443218
